"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"СГНЛ"	"LСГНЛ"	"VAL"
"Численность населения на начало периода(Человек)"	"2017 год"	"201712"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 668 112"
"Численность населения на начало периода(Человек)"	"2004 год"	"200412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"6 432 958"
"Численность населения на начало периода(Человек)"	"2003 год"	"200312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"6 409 685"
"Численность населения на начало периода(Человек)"	"2007 год"	"200712"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"6 563 629"
"Численность населения на начало периода(Человек)"	"2002 год"	"200212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"6 421 728"
"Численность населения на начало периода(Человек)"	"2005 год"	"200512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"6 460 116"
"Численность населения на начало периода(Человек)"	"2001 год"	"200112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"6 452 211"
"Численность населения на начало периода(Человек)"	"2008 год"	"200812"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 305 571"
"Численность населения на начало периода(Человек)"	"2009 год"	"200912"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 319 451"
"Численность населения на начало периода(Человек)"	"2006 год"	"200612"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"6 522 771"
"Численность населения на начало периода(Человек)"	"2019 год"	"201912"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 655 284"
"Численность населения на начало периода(Человек)"	"2020 год"	"202012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 693 127"
"Численность населения на начало периода(Человек)"	"2000 год"	"200012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"6 504 075"
"Численность населения на начало периода(Человек)"	"2018 год"	"201812"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 647 541"
"Численность населения на начало периода(Человек)"	"2022 год"	"202212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 511 921"
"Численность населения на начало периода(Человек)"	"2023 год"	"202312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 556 911"
"Численность населения на начало периода(Человек)"	"2024 год"	"202412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 582 650"
"Численность населения на начало периода(Человек)"	"2021 год"	"202112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 728 176"
"Численность населения на начало периода(Человек)"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 578 690"
"Численность населения на начало периода(Человек)"	"2011 год"	"201112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 466 548"
"Численность населения на начало периода(Человек)"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 634 319"
"Численность населения на начало периода(Человек)"	"2010 год"	"201012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 383 654"
"Численность населения на начало периода(Человек)"	"2012 год"	"201212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 546 390"
"Численность населения на начало периода(Человек)"	"2013 год"	"201312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 632 375"
"Численность населения на начало периода(Человек)"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 727 280"
"Численность населения на начало периода(Человек)"	"2025 год"	"202512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"7 510 284"
"Численность населения на начало периода(Человек)"	"2017 год"	"201712"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"734 369"
"Численность населения на начало периода(Человек)"	"2004 год"	"200412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"748 930"
"Численность населения на начало периода(Человек)"	"2003 год"	"200312"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"748 167"
"Численность населения на начало периода(Человек)"	"2007 год"	"200712"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"748 559"
"Численность населения на начало периода(Человек)"	"2002 год"	"200212"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"755 000"
"Численность населения на начало периода(Человек)"	"2005 год"	"200512"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"747 185"
"Численность населения на начало периода(Человек)"	"2001 год"	"200112"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"776 377"
"Численность населения на начало периода(Человек)"	"2008 год"	"200812"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"747 447"
"Численность населения на начало периода(Человек)"	"2009 год"	"200912"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"738 827"
"Численность населения на начало периода(Человек)"	"2006 год"	"200612"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"746 652"
"Численность населения на начало периода(Человек)"	"2019 год"	"201912"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"738 587"
"Численность населения на начало периода(Человек)"	"2020 год"	"202012"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"736 735"
"Численность населения на начало периода(Человек)"	"2000 год"	"200012"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"799 179"
"Численность населения на начало периода(Человек)"	"2018 год"	"201812"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"738 942"
"Численность населения на начало периода(Человек)"	"2022 год"	"202212"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"785 708"
"Численность населения на начало периода(Человек)"	"2023 год"	"202312"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"788 013"
"Численность населения на начало периода(Человек)"	"2024 год"	"202412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"787 976"
